App ID,Posição,Link,Nome do Jogo,Avaliações Positivas,Avaliações Negativas,Avaliações Totais,Classificação
620,1,https://steamdb.info/app/620/,Portal 2,387265,5010,392275,97.71
1118200,2,https://steamdb.info/app/1118200/,People Playground,240529,3275,243804,97.49
413150,3,https://steamdb.info/app/413150/,Stardew Valley,694589,12223,706812,97.43
1794680,4,https://steamdb.info/app/1794680/,Vampire Survivors,226523,3332,229855,97.37
1145360,5,https://steamdb.info/app/1145360/,Hades,252880,4161,257041,97.24
400,6,https://steamdb.info/app/400/,Portal,154228,2353,156581,97.17
2420510,7,https://steamdb.info/app/2420510/,HoloCure - Save the Fans!,29353,211,29564,97.06
105600,8,https://steamdb.info/app/105600/,Terraria,1254975,30509,1285484,96.94
294100,9,https://steamdb.info/app/294100/,RimWorld,182909,3648,186557,96.80
546560,10,https://steamdb.info/app/546560/,Half-Life: Alyx,87193,1455,88648,96.79
550,11,https://steamdb.info/app/550/,Left 4 Dead 2,833576,21128,854704,96.75
2231450,12,https://steamdb.info/app/2231450/,Pizza Tower,57003,863,57866,96.72
1089980,13,https://steamdb.info/app/1089980/,The Henry Stickmin Collection,43418,600,44018,96.69
1144400,14,https://steamdb.info/app/1144400/,Senren＊Banka,21815,205,22020,96.65
227300,15,https://steamdb.info/app/227300/,Euro Truck Simulator 2,741136,19626,760762,96.62
1055540,16,https://steamdb.info/app/1055540/,A Short Hike,16049,120,16169,96.59
646570,17,https://steamdb.info/app/646570/,Slay the Spire,152310,3337,155647,96.55
1966720,18,https://steamdb.info/app/1966720/,Lethal Company,384587,9915,394502,96.50
433340,19,https://steamdb.info/app/433340/,Slime Rancher,117391,2495,119886,96.50
1229490,20,https://steamdb.info/app/1229490/,ULTRAKILL,110338,2337,112675,96.48
250900,21,https://steamdb.info/app/250900/,The Binding of Isaac: Rebirth,280143,7074,287217,96.46
48700,22,https://steamdb.info/app/48700/,Mount &amp; Blade: Warband,156612,3619,160231,96.45
508440,23,https://steamdb.info/app/508440/,Totally Accurate Battle Simulator,119942,2624,122566,96.45
220,24,https://steamdb.info/app/220/,Half-Life 2,187335,4566,191901,96.40
1289310,25,https://steamdb.info/app/1289310/,Helltaker,115621,2603,118224,96.38
2608050,26,https://steamdb.info/app/2608050/,Cats Hidden in Jingle Jam,8770,36,8806,96.37
420530,27,https://steamdb.info/app/420530/,OneShot,43566,758,44324,96.36
2313250,28,https://steamdb.info/app/2313250/,Cats Hidden in Paris,15242,146,15388,96.36
460950,29,https://steamdb.info/app/460950/,Katana ZERO,63571,1256,64827,96.35
1920960,30,https://steamdb.info/app/1920960/,VPet,38415,644,39059,96.35
10,31,https://steamdb.info/app/10/,Counter-Strike,230922,6021,236943,96.31
960090,32,https://steamdb.info/app/960090/,Bloons TD 6,299519,8121,307640,96.30
2050650,33,https://steamdb.info/app/2050650/,Resident Evil 4,133209,3348,136557,96.20
284160,34,https://steamdb.info/app/284160/,BeamNG.drive,241065,6735,247800,96.16
3590,35,https://steamdb.info/app/3590/,Plants vs. Zombies: Game of the Year,122365,3082,125447,96.16
1230140,36,https://steamdb.info/app/1230140/,ATRI -My Dear Moments-,15430,187,15617,96.14
367520,37,https://steamdb.info/app/367520/,Hollow Knight,339369,10002,349371,96.13
504230,38,https://steamdb.info/app/504230/,Celeste,90921,2216,93137,96.10
1366540,39,https://steamdb.info/app/1366540/,Dyson Sphere Program,77027,1814,78841,96.10
548430,40,https://steamdb.info/app/548430/,Deep Rock Galactic,280280,8242,288522,96.07
253230,41,https://steamdb.info/app/253230/,A Hat in Time,48487,1031,49518,96.07
205100,42,https://steamdb.info/app/205100/,Dishonored,76568,1849,78417,96.04
4000,43,https://steamdb.info/app/4000/,Garry's Mod,1032579,34852,1067431,96.02
2291760,44,https://steamdb.info/app/2291760/,Papa's Freezeria Deluxe,8167,59,8226,96.02
774181,45,https://steamdb.info/app/774181/,Rhythm Doctor,19257,299,19556,96.00
1583720,46,https://steamdb.info/app/1583720/,Entropy : Zero 2,22726,383,23109,95.99
1332010,47,https://steamdb.info/app/1332010/,Stray,134745,3745,138490,95.96
1288310,48,https://steamdb.info/app/1288310/,Firework,37682,785,38467,95.96
1281930,49,https://steamdb.info/app/1281930/,tModLoader,241418,7324,248742,95.94
1129190,50,https://steamdb.info/app/1129190/,Our Life: Beginnings &amp; Always,10903,120,11023,95.94
1086940,51,https://steamdb.info/app/1086940/,Baldur's Gate 3,589408,19607,609015,95.93
1361320,52,https://steamdb.info/app/1361320/,The Room 4: Old Sins,14111,194,14305,95.91
213670,53,https://steamdb.info/app/213670/,South Park™: The Stick of Truth™,59511,1449,60960,95.90
1467450,54,https://steamdb.info/app/1467450/,The Chronicles Of Myrtana: Archolos,13981,195,14176,95.89
588650,55,https://steamdb.info/app/588650/,Dead Cells,147167,4262,151429,95.88
1868140,56,https://steamdb.info/app/1868140/,DAVE THE DIVER,94067,2538,96605,95.88
1150690,57,https://steamdb.info/app/1150690/,OMORI,66646,1683,68329,95.87
1170880,58,https://steamdb.info/app/1170880/,Grimm's Hollow,12755,172,12927,95.85
219150,59,https://steamdb.info/app/219150/,Hotline Miami,91958,2577,94535,95.77
264710,60,https://steamdb.info/app/264710/,Subnautica,260945,8544,269489,95.74
1669980,61,https://steamdb.info/app/1669980/,Volcano Princess,31791,707,32498,95.73
526870,62,https://steamdb.info/app/526870/,Satisfactory,154932,4824,159756,95.71
250320,63,https://steamdb.info/app/250320/,The Wolf Among Us,32277,727,33004,95.71
774801,64,https://steamdb.info/app/774801/,Crab Champions,21115,420,21535,95.67
1931770,65,https://steamdb.info/app/1931770/,Chants of Sennaar,12959,203,13162,95.67
1942280,66,https://steamdb.info/app/1942280/,Brotato,73024,2047,75071,95.66
883710,67,https://steamdb.info/app/883710/,Resident Evil 2,149720,4738,154458,95.65
238460,68,https://steamdb.info/app/238460/,BattleBlock Theater,68165,1926,70091,95.61
288160,69,https://steamdb.info/app/288160/,The Room,26064,576,26640,95.61
1568400,70,https://steamdb.info/app/1568400/,Sheepy: A Short Adventure,7857,89,7946,95.61
1307580,71,https://steamdb.info/app/1307580/,TOEM,5777,45,5822,95.61
2263010,72,https://steamdb.info/app/2263010/,Pineapple on pizza,21411,444,21855,95.60
32470,73,https://steamdb.info/app/32470/,STAR WARS™ Empire at War: Gold Pack,35075,857,35932,95.59
1533420,74,https://steamdb.info/app/1533420/,Neon White,14450,253,14703,95.59
239030,75,https://steamdb.info/app/239030/,"Papers, Please",66281,1890,68171,95.57
1092790,76,https://steamdb.info/app/1092790/,Inscryption,108372,3380,111752,95.56
207610,77,https://steamdb.info/app/207610/,The Walking Dead,65385,1890,67275,95.53
391540,78,https://steamdb.info/app/391540/,Undertale,217603,7534,225137,95.51
270880,79,https://steamdb.info/app/270880/,American Truck Simulator,146440,4842,151282,95.51
1240210,80,https://steamdb.info/app/1240210/,There Is No Game: Wrong Dimension,20886,452,21338,95.50
2381620,81,https://steamdb.info/app/2381620/,Steam Engine Simulator,6553,69,6622,95.49
427520,82,https://steamdb.info/app/427520/,Factorio,177911,6081,183992,95.48
447530,83,https://steamdb.info/app/447530/,VA-11 Hall-A: Cyberpunk Bartender Action,33121,846,33967,95.45
1290000,84,https://steamdb.info/app/1290000/,PowerWash Simulator,42625,1168,43793,95.44
787480,85,https://steamdb.info/app/787480/,Phoenix Wright: Ace Attorney Trilogy,28563,705,29268,95.44
736260,86,https://steamdb.info/app/736260/,Baba Is You,19390,422,19812,95.43
667970,87,https://steamdb.info/app/667970/,VTOL VR,15560,311,15871,95.43
1113000,88,https://steamdb.info/app/1113000/,Persona 4 Golden,67175,2037,69212,95.41
1999360,89,https://steamdb.info/app/1999360/,Placid Plastic Duck Simulator,13683,263,13946,95.39
264200,90,https://steamdb.info/app/264200/,One Finger Death Punch,15897,329,16226,95.38
1353230,91,https://steamdb.info/app/1353230/,Bomb Rush Cyberfunk,9867,160,10027,95.38
1817230,92,https://steamdb.info/app/1817230/,Hi-Fi RUSH,27852,703,28555,95.37
337340,93,https://steamdb.info/app/337340/,Finding Paradise,16683,358,17041,95.35
324160,94,https://steamdb.info/app/324160/,CLANNAD,8528,128,8656,95.35
1584090,95,https://steamdb.info/app/1584090/,东方夜雀食堂 - Touhou Mystia's Izakaya,21141,498,21639,95.34
1698960,96,https://steamdb.info/app/1698960/,Project Kat - Paper Lily Prologue,4525,35,4560,95.34
292030,97,https://steamdb.info/app/292030/,The Witcher 3: Wild Hunt,745192,30152,775344,95.33
698780,98,https://steamdb.info/app/698780/,Doki Doki Literature Club,191629,6928,198557,95.33
457140,99,https://steamdb.info/app/457140/,Oxygen Not Included,110894,3752,114646,95.33
2379780,100,https://steamdb.info/app/2379780/,Balatro,36714,1017,37731,95.32
219740,101,https://steamdb.info/app/219740/,Don't Starve,102841,3467,106308,95.30
425580,102,https://steamdb.info/app/425580/,The Room Two,17881,406,18287,95.29
274190,103,https://steamdb.info/app/274190/,Broforce,54638,1683,56321,95.27
1562700,104,https://steamdb.info/app/1562700/,SANABI,24070,608,24678,95.27
1593500,105,https://steamdb.info/app/1593500/,God of War,125243,4414,129657,95.25
1057090,106,https://steamdb.info/app/1057090/,Ori and the Will of the Wisps,122394,4293,126687,95.25
636480,107,https://steamdb.info/app/636480/,Ravenfield,64964,2074,67038,95.25
217980,108,https://steamdb.info/app/217980/,Dishonored RHCP,13072,268,13340,95.24
70,109,https://steamdb.info/app/70/,Half-Life,122229,4314,126543,95.23
1454400,110,https://steamdb.info/app/1454400/,Cookie Clicker,61291,1953,63244,95.23
632360,111,https://steamdb.info/app/632360/,Risk of Rain 2,261676,10068,271744,95.22
1687950,112,https://steamdb.info/app/1687950/,Persona 5 Royal,65771,2129,67900,95.22
424280,113,https://steamdb.info/app/424280/,Iron Snout,16874,389,17263,95.21
1424330,114,https://steamdb.info/app/1424330/,Wobbledogs,9452,168,9620,95.20
739630,115,https://steamdb.info/app/739630/,Phasmophobia,648615,27058,675673,95.19
531510,116,https://steamdb.info/app/531510/,Just Shapes &amp; Beats,18972,462,19434,95.19
223470,117,https://steamdb.info/app/223470/,POSTAL 2,96522,3368,99890,95.17
268910,118,https://steamdb.info/app/268910/,Cuphead,154128,5774,159902,95.13
420,119,https://steamdb.info/app/420/,Half-Life 2: Episode Two,38453,1161,39614,95.13
1070710,120,https://steamdb.info/app/1070710/,Kind Words,8568,150,8718,95.13
1677770,121,https://steamdb.info/app/1677770/,The Case of the Golden Idol,6146,86,6232,95.12
2368470,122,https://steamdb.info/app/2368470/,An Arcade Full of Cats,5212,62,5274,95.12
341800,123,https://steamdb.info/app/341800/,Keep Talking and Nobody Explodes,13206,293,13499,95.10
304430,124,https://steamdb.info/app/304430/,INSIDE,56345,1857,58202,95.09
519860,125,https://steamdb.info/app/519860/,DUSK,21117,556,21673,95.09
1082430,126,https://steamdb.info/app/1082430/,Before Your Eyes,13195,295,13490,95.08
40970,127,https://steamdb.info/app/40970/,Stronghold Crusader HD,17350,433,17783,95.07
240,128,https://steamdb.info/app/240/,Counter-Strike: Source,163829,6304,170133,95.06
1093910,129,https://steamdb.info/app/1093910/,Tales of the Black Forest,11874,257,12131,95.06
557600,130,https://steamdb.info/app/557600/,Gorogoa,15728,382,16110,95.05
238320,131,https://steamdb.info/app/238320/,Outlast,110327,4082,114409,95.04
22380,132,https://steamdb.info/app/22380/,Fallout: New Vegas,199231,7922,207153,95.02
203160,133,https://steamdb.info/app/203160/,Tomb Raider,223708,9000,232708,95.01
2324650,134,https://steamdb.info/app/2324650/,The Murder of Sonic the Hedgehog,20215,542,20757,95.01
2070550,135,https://steamdb.info/app/2070550/,A Castle Full of Cats,3095,19,3114,95.00
1586800,136,https://steamdb.info/app/1586800/,Lil Gator Game,3872,37,3909,94.99
1567800,137,https://steamdb.info/app/1567800/,星空列车与白的旅行,3660,32,3692,94.99
412830,138,https://steamdb.info/app/412830/,STEINS;GATE,16387,416,16803,94.98
8930,139,https://steamdb.info/app/8930/,Sid Meier's Civilization V,189879,7605,197484,94.97
851100,140,https://steamdb.info/app/851100/,Touhou Luna Nights,12826,299,13125,94.97
2378900,141,https://steamdb.info/app/2378900/,The Coffin of Andy and Leyley,17985,475,18460,94.96
2121360,142,https://steamdb.info/app/2121360/,东北之夏,11429,256,11685,94.96
1507970,143,https://steamdb.info/app/1507970/,文字遊戲：第零章,4446,52,4498,94.96
1260520,144,https://steamdb.info/app/1260520/,Patrick's Parabox,3332,26,3358,94.95
683320,145,https://steamdb.info/app/683320/,GRIS,68066,2431,70497,94.94
432350,146,https://steamdb.info/app/432350/,Epic Battle Fantasy 5,5025,68,5093,94.94
319630,147,https://steamdb.info/app/319630/,Life is Strange™,157956,6278,164234,94.93
1684930,148,https://steamdb.info/app/1684930/,CULTIC,5705,87,5792,94.93
2570630,149,https://steamdb.info/app/2570630/,20 Small Mazes,4135,46,4181,94.93
2458530,150,https://steamdb.info/app/2458530/,魔女的夜宴,4403,53,4456,94.92
629730,151,https://steamdb.info/app/629730/,Blade &amp; Sorcery,45791,1546,47337,94.90
1713610,152,https://steamdb.info/app/1713610/,Purrgatory,3877,41,3918,94.90
252150,153,https://steamdb.info/app/252150/,Grimm,29300,911,30211,94.88
2532550,154,https://steamdb.info/app/2532550/,LIZARDS MUST DIE,23442,695,24137,94.86
1059990,155,https://steamdb.info/app/1059990/,Trombone Champ,8320,169,8489,94.86
2415010,156,https://steamdb.info/app/2415010/,A Date with Death,5409,83,5492,94.86
1390350,157,https://steamdb.info/app/1390350/,Webbed,12228,297,12525,94.85
1277930,158,https://steamdb.info/app/1277930/,Riddle Joker,4785,67,4852,94.84
1901370,159,https://steamdb.info/app/1901370/,Ib,3522,35,3557,94.83
322330,160,https://steamdb.info/app/322330/,Don't Starve Together,433562,19431,452993,94.80
204360,161,https://steamdb.info/app/204360/,Castle Crashers,104991,4142,109133,94.80
1292940,162,https://steamdb.info/app/1292940/,Cube Escape Collection,5786,99,5885,94.78
206190,163,https://steamdb.info/app/206190/,Gunpoint,12292,310,12602,94.77
206440,164,https://steamdb.info/app/206440/,To the Moon,71431,2710,74141,94.76
1392820,165,https://steamdb.info/app/1392820/,Milk inside a bag of milk inside a bag of milk,24120,749,24869,94.76
312990,166,https://steamdb.info/app/312990/,The Expendabros,17526,499,18025,94.76
435150,167,https://steamdb.info/app/435150/,Divinity: Original Sin 2,171626,7239,178865,94.75
351640,168,https://steamdb.info/app/351640/,Eternal Senia,11564,288,11852,94.75
1806840,169,https://steamdb.info/app/1806840/,100 hidden frogs,5621,96,5717,94.75
1969080,170,https://steamdb.info/app/1969080/,A Building Full of Cats,3420,36,3456,94.75
541570,171,https://steamdb.info/app/541570/,Sally Face - Episode One,17827,514,18341,94.74
1369320,172,https://steamdb.info/app/1369320/,Virtual Cottage,9010,202,9212,94.74
1275670,173,https://steamdb.info/app/1275670/,Outcore,10980,270,11250,94.73
597220,174,https://steamdb.info/app/597220/,West of Loathing,8932,201,9133,94.73
1746030,175,https://steamdb.info/app/1746030/,山河旅探 Murders on the Yangtze River,10563,257,10820,94.72
745880,176,https://steamdb.info/app/745880/,東方天空璋 ～ Hidden Star in Four Seasons.,4405,63,4468,94.72
597170,177,https://steamdb.info/app/597170/,Clone Drone in the Danger Zone,26889,872,27761,94.71
2600140,178,https://steamdb.info/app/2600140/,"Please, Touch The Artwork 2",2175,9,2184,94.69
1241510,179,https://steamdb.info/app/1241510/,The Test,18739,565,19304,94.66
1067310,180,https://steamdb.info/app/1067310/,Gravitas,6386,125,6511,94.66
242760,181,https://steamdb.info/app/242760/,The Forest,515557,24274,539831,94.65
35140,182,https://steamdb.info/app/35140/,Batman: Arkham Asylum GOTY Edition,60473,2320,62793,94.64
450540,183,https://steamdb.info/app/450540/,"Hot Dogs, Horseshoes &amp; Hand Grenades",19515,599,20114,94.64
1520370,184,https://steamdb.info/app/1520370/,Mon Bazou,11723,309,12032,94.63
221640,185,https://steamdb.info/app/221640/,Super Hexagon,23445,759,24204,94.62
1985690,186,https://steamdb.info/app/1985690/,The Looker,12984,356,13340,94.62
1469280,187,https://steamdb.info/app/1469280/,SuchArt: Creative Space,6572,134,6706,94.62
312530,188,https://steamdb.info/app/312530/,Duck Game,36025,1279,37304,94.61
500,189,https://steamdb.info/app/500/,Left 4 Dead,53524,2043,55567,94.60
362680,190,https://steamdb.info/app/362680/,Fran Bow,15659,459,16118,94.60
2291850,191,https://steamdb.info/app/2291850/,Underground Blossom,5159,91,5250,94.60
1708150,192,https://steamdb.info/app/1708150/,Juice Galaxy,4002,58,4060,94.59
1895350,193,https://steamdb.info/app/1895350/,I Wani Hug that Gator!,2157,11,2168,94.59
1211020,194,https://steamdb.info/app/1211020/,Wobbly Life,19554,613,20167,94.58
1530140,195,https://steamdb.info/app/1530140/,Aventura Copilului Albastru și Urât,2401,17,2418,94.57
644560,196,https://steamdb.info/app/644560/,Mirror,83250,3415,86665,94.56
1434480,197,https://steamdb.info/app/1434480/,Maitetsu:Last Run!!,3739,52,3791,94.56
653530,198,https://steamdb.info/app/653530/,Return of the Obra Dinn,24057,802,24859,94.55
1604000,199,https://steamdb.info/app/1604000/,Milk outside a bag of milk outside a bag of milk,14324,416,14740,94.55
1250760,200,https://steamdb.info/app/1250760/,海沙风云 Far Away,5909,118,6027,94.55
1388880,201,https://steamdb.info/app/1388880/,Doki Doki Literature Club Plus!,22796,753,23549,94.54
246420,202,https://steamdb.info/app/246420/,Kingdom Rush,12574,352,12926,94.54
617670,203,https://steamdb.info/app/617670/,Zup! S,13329,382,13711,94.53
1708870,204,https://steamdb.info/app/1708870/,第七号列车 - Train No. 7,6174,129,6303,94.51
897220,205,https://steamdb.info/app/897220/,Summer Pockets,3152,38,3190,94.51
488860,206,https://steamdb.info/app/488860/,MADNESS: Project Nexus,13477,394,13871,94.49
1328840,207,https://steamdb.info/app/1328840/,Lost in Play,4817,87,4904,94.49
1171370,208,https://steamdb.info/app/1171370/,The Supper,3572,50,3622,94.49
2220360,209,https://steamdb.info/app/2220360/,Paper Lily - Chapter 1,2550,23,2573,94.49
2280,210,https://steamdb.info/app/2280/,DOOM (1993),17049,535,17584,94.48
2495980,211,https://steamdb.info/app/2495980/,箭箭剑 Arrow a Row,13719,406,14125,94.47
1428310,212,https://steamdb.info/app/1428310/,The Test: Final Revelation,5100,97,5197,94.47
235460,213,https://steamdb.info/app/235460/,METAL GEAR RISING: REVENGEANCE,72355,3004,75359,94.45
909080,214,https://steamdb.info/app/909080/,Cube Escape: Paradox,9021,232,9253,94.45
1455840,215,https://steamdb.info/app/1455840/,Dorfromantik,24819,865,25684,94.44
1421250,216,https://steamdb.info/app/1421250/,Tiny Bunny,17640,566,18206,94.44
214560,217,https://steamdb.info/app/214560/,Mark of the Ninja,15316,474,15790,94.44
420110,218,https://steamdb.info/app/420110/,NEKOPARA Vol. 2,12107,352,12459,94.42
1262350,219,https://steamdb.info/app/1262350/,SIGNALIS,16837,543,17380,94.40
1388770,220,https://steamdb.info/app/1388770/,Cruelty Squad,16503,528,17031,94.40
926990,221,https://steamdb.info/app/926990/,WolfQuest: Anniversary Edition,7613,187,7800,94.40
658920,222,https://steamdb.info/app/658920/,Half-Life 2: VR Mod,5620,118,5738,94.40
1927720,223,https://steamdb.info/app/1927720/,Monument Valley,3750,59,3809,94.40
1817070,224,https://steamdb.info/app/1817070/,Marvel’s Spider-Man Remastered,89866,3895,93761,94.39
1406990,225,https://steamdb.info/app/1406990/,NEKOPARA Vol. 4,8090,206,8296,94.38
200260,226,https://steamdb.info/app/200260/,Batman: Arkham City GOTY,58523,2412,60935,94.37
32440,227,https://steamdb.info/app/32440/,LEGO® Star Wars™: The Complete Saga,21526,743,22269,94.37
1285670,228,https://steamdb.info/app/1285670/,Post Void,9505,259,9764,94.37
601150,229,https://steamdb.info/app/601150/,Devil May Cry 5,117770,5294,123064,94.36
1989270,230,https://steamdb.info/app/1989270/,Slay the Princess,10233,288,10521,94.35
990630,231,https://steamdb.info/app/990630/,The Last Campfire,8098,209,8307,94.35
623080,232,https://steamdb.info/app/623080/,planetarian HD,2575,28,2603,94.34
1948280,233,https://steamdb.info/app/1948280/,Stacklands,22451,792,23243,94.33
814380,234,https://steamdb.info/app/814380/,Sekiro™: Shadows Die Twice,267690,13025,280715,94.32
221380,235,https://steamdb.info/app/221380/,Age of Empires II (2013),95294,4223,99517,94.32
602520,236,https://steamdb.info/app/602520/,NEKOPARA Vol. 3,11485,340,11825,94.32
2109460,237,https://steamdb.info/app/2109460/,乡村狂想曲,14073,449,14522,94.29
1282200,238,https://steamdb.info/app/1282200/,The Test: Hypothesis Rising,5589,124,5713,94.29
397740,239,https://steamdb.info/app/397740/,Hylics,4666,93,4759,94.29
261030,240,https://steamdb.info/app/261030/,The Walking Dead: Season Two,28519,1076,29595,94.27
942970,241,https://steamdb.info/app/942970/,Unheard,28395,1072,29467,94.27
2056220,242,https://steamdb.info/app/2056220/,Bloody Hell,4389,85,4474,94.27
1281800,243,https://steamdb.info/app/1281800/,Samsara Room,8057,215,8272,94.26
1764390,244,https://steamdb.info/app/1764390/,BAD END THEATER,6854,171,7025,94.26
239140,245,https://steamdb.info/app/239140/,Dying Light,394133,20064,414197,94.24
311690,246,https://steamdb.info/app/311690/,Enter the Gungeon,75818,3341,79159,94.24
2239150,247,https://steamdb.info/app/2239150/,Thronefall,12806,405,13211,94.24
1044620,248,https://steamdb.info/app/1044620/,Aokana - Four Rhythms Across the Blue,4834,102,4936,94.23
379720,249,https://steamdb.info/app/379720/,DOOM,180603,8730,189333,94.22
1337010,250,https://steamdb.info/app/1337010/,Alba: A Wildlife Adventure,5183,115,5298,94.21
